"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-entite-geographique","ror-entite-geographique.habilitationSoinSansConsentement","ror-entite-geographique.habilitationSoinSansConsentement","","","",0,1,"","","","boolean {[]} {[]}
","L'habilitation aux soins sans consentement traduit que l'établissement est autorisé à prendre en charge des patients sans leur consentement. Cette autorisation est donnée par le directeur général de l’ARS après avis du préfet.Valeurs possibles : 0 = L'établissement ne possède pas d'autorisation aux soins sans consentement 1 = L'établissement possède une autorisation aux soins sans consentement","L'habilitation aux soins sans consentement traduit que l'établissement est autorisé à prendre en charge des patients sans leur consentement. Cette autorisation est donnée par le directeur général de l’ARS après avis du préfet.Valeurs possibles : 0 = L'établissement ne possède pas d'autorisation aux soins sans consentement 1 = L'établissement possède une autorisation aux soins sans consentement","","","","","","","","","",,,,,"",,,,"EntiteGeographique.habilitationSoinSansConsentement",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.hebergementFamille","ror-entite-geographique.hebergementFamille","","","",0,1,"","","","boolean {[]} {[]}
","L’indicateur hébergement des familles précise si l'établissement peut héberger les familles des personnes prises en charge. Valeurs possibles :0 = L'établissement ne peut pas héberger les familles des personnes prises en charge1 = L'établissement peut héberger les familles des personnes prises en charge","L’indicateur hébergement des familles précise si l'établissement peut héberger les familles des personnes prises en charge. Valeurs possibles :0 = L'établissement ne peut pas héberger les familles des personnes prises en charge1 = L'établissement peut héberger les familles des personnes prises en charge","","","","","","","","","",,,,,"",,,,"EntiteGeographique.hebergementFamille",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.dateModificationSIRET","ror-entite-geographique.dateModificationSIRET","","","",0,1,"","","","date {[]} {[]}
","Date de modification du numéro SIRET.","Date de modification du numéro SIRET.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.dateModificationSIRET",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.origineModificationSIRET","ror-entite-geographique.origineModificationSIRET","","","",0,1,"","","","string {[]} {[]}
","Origine/nature de modification du SIRET (motif de modification de l’identifiant).","Origine/nature de modification du SIRET (motif de modification de l’identifiant).","","","","","","","","","",,,,,"",,,,"EntiteGeographique.origineModificationSIRET",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.actif","ror-entite-geographique.actif","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de l’activité de l'entité géographique, si celle-ci est active (ou ouverte) ou inactive (ou fermée).","Indicateur de l’activité de l'entité géographique, si celle-ci est active (ou ouverte) ou inactive (ou fermée).","","","","","","","","","",,,,,"",,,,"EntiteGeographique.actif",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.dateOuverture","ror-entite-geographique.dateOuverture","","","",0,1,"","","","date {[]} {[]}
","Date d’ouverture réelle de fonctionnement de l’établissement.Pour les établissements soumis à autorisation, elle est constatée par la première visite de conformité du premier équipement autorisé. La date d’ouverture doit être supérieure ou égale à la date d’autorisation.","Date d’ouverture réelle de fonctionnement de l’établissement.Pour les établissements soumis à autorisation, elle est constatée par la première visite de conformité du premier équipement autorisé. La date d’ouverture doit être supérieure ou égale à la date d’autorisation.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.dateOuverture",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.dateCaducite","ror-entite-geographique.dateCaducite","","","",0,1,"","","","date {[]} {[]}
","La date de caducité indique la limite autorisant la réalisation de l’opération pour laquelle il y a autorisation. Elle est calculée automatiquement lorsque la date d’autorisation est renseignée. Elle disparait lorsque la date d’ouverture est renseignée.Par défaut, la date de caducité calculée automatiquement dans FINESS est de trois ans. En cas de début de travaux, une quatrième année est autorisée par les textes.","La date de caducité indique la limite autorisant la réalisation de l’opération pour laquelle il y a autorisation. Elle est calculée automatiquement lorsque la date d’autorisation est renseignée. Elle disparait lorsque la date d’ouverture est renseignée.Par défaut, la date de caducité calculée automatiquement dans FINESS est de trois ans. En cas de début de travaux, une quatrième année est autorisée par les textes.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.dateCaducite",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.constatCaducite","ror-entite-geographique.constatCaducite","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de caducité de l'établissement:- « N » par défaut, lorsque l’établissement est autorisé non ouvert (la date d’ouverture n’est pas renseignée);- « O » à indiquer lorsqu’un constat de caducité a été relevé sur l'établissement.","Indicateur de caducité de l'établissement:- « N » par défaut, lorsque l’établissement est autorisé non ouvert (la date d’ouverture n’est pas renseignée);- « O » à indiquer lorsqu’un constat de caducité a été relevé sur l'établissement.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.constatCaducite",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.dateFermeture","ror-entite-geographique.dateFermeture","","","",0,1,"","","","date {[]} {[]}
","Date de fermeture de l'entité géographique. La date doit être supérieure à la date d’ouverture.","Date de fermeture de l'entité géographique. La date doit être supérieure à la date d’ouverture.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.dateFermeture",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.typeFermeture","ror-entite-geographique.typeFermeture","","","",0,1,"","","","Coding {[]} {[]}
","Type de fermeture de l'entité géographique, au sens des règles de gestion du SI FINESS (par exemple: fermeture définitive, fermeture provisoire), obligatoire lors de la fermeture de l'entité.","Type de fermeture de l'entité géographique, au sens des règles de gestion du SI FINESS (par exemple: fermeture définitive, fermeture provisoire), obligatoire lors de la fermeture de l'entité.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R286-TypeFermeture/FHIR/TRE-R286-TypeFermeture?vs","",,,,"EntiteGeographique.typeFermeture",0,1,"",""
